train_size,dataset,seed,method,split_type,standardize_y,n,status,projection,projection_fit,explained_variance_sum,sir_H,n_negative_or_nonfinite_sig2,pred_sigma_mean,pred_sigma_max,error
500,Wine Quality,0,jgp_pca,random_row,False,25,ok,pca,train_only,0.659760902061615,,0,0.5426870156255789,1.018937401743668,
500,Wine Quality,0,jgp_sir,random_row,False,25,ok,sir,train_only,,10,0,0.5546021015653482,1.0471553601510855,
500,Wine Quality,1,jgp_pca,random_row,False,25,ok,pca,train_only,0.6506358663181201,,0,0.5703790064524971,1.0384598954725568,
500,Wine Quality,1,jgp_sir,random_row,False,25,ok,sir,train_only,,10,0,0.550691963965945,1.0588005306690798,
500,Wine Quality,2,jgp_pca,random_row,False,25,ok,pca,train_only,0.6454280077259184,,0,0.5958180764357779,1.0552681115473423,
500,Wine Quality,2,jgp_sir,random_row,False,25,ok,sir,train_only,,10,0,0.5506208947719223,1.0212586676223918,
500,Wine Quality,3,jgp_pca,random_row,False,25,ok,pca,train_only,0.6492604844613781,,0,0.5660219229108886,1.175754549221716,
500,Wine Quality,3,jgp_sir,random_row,False,25,ok,sir,train_only,,10,0,0.5446329254594161,1.316986485017815,
500,Wine Quality,4,jgp_pca,random_row,False,25,ok,pca,train_only,0.6631254873037931,,0,0.5440418950789621,0.946867797136394,
500,Wine Quality,4,jgp_sir,random_row,False,25,ok,sir,train_only,,10,0,0.525599720213113,0.9991311295879866,
500,Parkinsons Telemonitoring,0,jgp_pca,subject_grouped,False,25,ok,pca,train_only,0.9190353754015134,,0,3.8648979328853885,9.54402154823512,
500,Parkinsons Telemonitoring,0,jgp_sir,subject_grouped,False,25,ok,sir,train_only,,10,0,4.232735998360674,11.362667437440393,
500,Parkinsons Telemonitoring,1,jgp_pca,subject_grouped,False,25,ok,pca,train_only,0.901221793317351,,0,5.220421131346724,10.607158722430801,
500,Parkinsons Telemonitoring,1,jgp_sir,subject_grouped,False,25,ok,sir,train_only,,10,0,4.531503569862981,9.563022575891159,
500,Parkinsons Telemonitoring,2,jgp_pca,subject_grouped,False,25,ok,pca,train_only,0.8984175173006659,,0,4.818738806523373,10.566841034214745,
500,Parkinsons Telemonitoring,2,jgp_sir,subject_grouped,False,25,ok,sir,train_only,,10,0,4.776958688901966,10.725000657927824,
500,Parkinsons Telemonitoring,3,jgp_pca,subject_grouped,False,25,ok,pca,train_only,0.9056968865575468,,0,4.1077633840872325,9.979702731883986,
500,Parkinsons Telemonitoring,3,jgp_sir,subject_grouped,False,25,ok,sir,train_only,,10,0,4.299967242809568,11.21755459050147,
500,Parkinsons Telemonitoring,4,jgp_pca,subject_grouped,False,25,ok,pca,train_only,0.9081833830082873,,0,3.6640465934703763,9.36323366291135,
500,Parkinsons Telemonitoring,4,jgp_sir,subject_grouped,False,25,ok,sir,train_only,,10,0,3.7063148442890737,9.184794992894812,
500,Appliances Energy Prediction,0,jgp_pca,random_row,True,35,ok,pca,train_only,0.7947953440601356,,0,31.114645857362678,241.28002011371163,
500,Appliances Energy Prediction,0,jgp_sir,random_row,True,35,ok,sir,train_only,,10,0,31.463370755925435,197.0101645465088,
500,Appliances Energy Prediction,1,jgp_pca,random_row,True,35,ok,pca,train_only,0.7858632686443798,,0,23.8920641908142,139.26143692129565,
500,Appliances Energy Prediction,1,jgp_sir,random_row,True,35,ok,sir,train_only,,10,0,26.059064529642765,214.5134445542898,
500,Appliances Energy Prediction,2,jgp_pca,random_row,True,35,ok,pca,train_only,0.7922737796358481,,0,36.9093075075448,260.8108369192661,
500,Appliances Energy Prediction,2,jgp_sir,random_row,True,35,ok,sir,train_only,,10,0,38.666026680285874,326.6501296693788,
500,Appliances Energy Prediction,3,jgp_pca,random_row,True,35,ok,pca,train_only,0.791597315708868,,0,37.23219072821679,264.4912938177289,
500,Appliances Energy Prediction,3,jgp_sir,random_row,True,35,ok,sir,train_only,,10,0,31.93900796337476,188.1427718670923,
500,Appliances Energy Prediction,4,jgp_pca,random_row,True,35,ok,pca,train_only,0.7911107009608571,,0,27.939377927180466,240.4162862204359,
500,Appliances Energy Prediction,4,jgp_sir,random_row,True,35,ok,sir,train_only,,10,0,21.0958580132669,125.09271760854884,
