train_size,dataset,seed,method,split_type,standardize_y,n,status,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
500,Wine Quality,0,jgp_pca,random_row,False,25,ok,0.8135383699738996,0.4564714729785919,37.70172939999611,0.75,1.7852814119024072,0.82,2.1272940110073204
500,Wine Quality,0,jgp_sir,random_row,False,25,ok,0.7351167669019255,0.4184761941432953,36.21840250000241,0.79,1.8244785565493433,0.835,2.1740002896366146
500,Wine Quality,1,jgp_pca,random_row,False,25,ok,0.804046671875359,0.464656800031662,35.01638129999628,0.77,1.8763799550007336,0.79,2.235844620369267
500,Wine Quality,1,jgp_sir,random_row,False,25,ok,0.8032568403246718,0.47457772493362427,36.52273470000364,0.755,1.811615348524828,0.8,2.158672831897763
500,Wine Quality,2,jgp_pca,random_row,False,25,ok,0.8369824791406597,0.48231372237205505,35.26712219999172,0.775,1.9600670480572773,0.815,2.3355639423041157
500,Wine Quality,2,jgp_sir,random_row,False,25,ok,0.7940200429823997,0.46408137679100037,34.538492799998494,0.76,1.8113815516817227,0.825,2.1583942457763734
500,Wine Quality,3,jgp_pca,random_row,False,25,ok,0.8570314931243964,0.48930686712265015,33.60275210000691,0.785,1.862046425668043,0.825,2.2187651667308965
500,Wine Quality,3,jgp_sir,random_row,False,25,ok,0.8415361900330411,0.493355393409729,32.356632600014564,0.73,1.791682885598223,0.78,2.1349218373902876
500,Wine Quality,4,jgp_pca,random_row,False,25,ok,0.8816818823358661,0.4989090859889984,34.58479710001848,0.76,1.789738568668366,0.805,2.1326050408713693
500,Wine Quality,4,jgp_sir,random_row,False,25,ok,0.8393840295866357,0.49501922726631165,33.67364490000182,0.725,1.729069212234436,0.79,2.0603130438040607
500,Parkinsons Telemonitoring,0,jgp_pca,subject_grouped,False,25,ok,11.213568295383725,8.08761215209961,58.411925899999915,0.33,12.714382765407558,0.4,15.150121504757326
500,Parkinsons Telemonitoring,0,jgp_sir,subject_grouped,False,25,ok,10.262030356182358,7.20761251449585,28.640527300012764,0.395,13.924462317663233,0.475,16.59202022570622
500,Parkinsons Telemonitoring,1,jgp_pca,subject_grouped,False,25,ok,8.926983667393037,5.749805927276611,20.800002899981337,0.595,17.173657264219532,0.65,20.46367480314284
500,Parkinsons Telemonitoring,1,jgp_sir,subject_grouped,False,25,ok,9.610813903531177,6.332916736602783,21.371318700024858,0.515,14.907320164865336,0.575,17.763167585492255
500,Parkinsons Telemonitoring,2,jgp_pca,subject_grouped,False,25,ok,9.331197830119025,5.69766902923584,22.186419299978297,0.57,15.852240006483557,0.63,18.88910902338267
500,Parkinsons Telemonitoring,2,jgp_sir,subject_grouped,False,25,ok,10.020745638609913,6.416200637817383,22.30909170000814,0.505,15.714795650475496,0.595,18.725333971767057
500,Parkinsons Telemonitoring,3,jgp_pca,subject_grouped,False,25,ok,10.61198189052525,7.185183048248291,20.929013000015402,0.42,13.513339001948674,0.525,16.102136579646697
500,Parkinsons Telemonitoring,3,jgp_sir,subject_grouped,False,25,ok,10.396433299257694,7.236136436462402,20.73763119999785,0.4,14.14563343021568,0.46,16.855561861217502
500,Parkinsons Telemonitoring,4,jgp_pca,subject_grouped,False,25,ok,10.92518959619907,7.847719192504883,20.660571099986555,0.345,12.053640657177871,0.42,14.362798721757219
500,Parkinsons Telemonitoring,4,jgp_sir,subject_grouped,False,25,ok,10.497545585216443,7.473618984222412,20.83743620000314,0.345,12.19269082850593,0.4,14.528487220345529
500,Appliances Energy Prediction,0,jgp_pca,random_row,True,35,ok,109.64931671960515,45.73994064331055,28.39064599998528,0.63,102.3580761795872,0.665,121.9671705442985
500,Appliances Energy Prediction,0,jgp_sir,random_row,True,35,ok,117.83515553109478,49.89503860473633,30.15297989998362,0.665,103.50527900800566,0.725,123.33414702768926
500,Appliances Energy Prediction,1,jgp_pca,random_row,True,35,ok,125.23806307736795,54.998050689697266,30.294382499996573,0.57,78.59789687923627,0.63,93.65517066062988
500,Appliances Energy Prediction,1,jgp_sir,random_row,True,35,ok,133.58134058103522,57.7910041809082,28.655220799992094,0.615,85.72669361309073,0.655,102.14965589781005
500,Appliances Energy Prediction,2,jgp_pca,random_row,True,35,ok,110.07833023206715,48.73674011230469,30.88958960000309,0.66,121.4208166441045,0.705,144.68182681820326
500,Appliances Energy Prediction,2,jgp_sir,random_row,True,35,ok,131.5516887430112,61.769805908203125,29.70116309999139,0.625,127.19990844974122,0.66,151.56803943725026
500,Appliances Energy Prediction,3,jgp_pca,random_row,True,35,ok,114.65319104356762,51.811317443847656,29.312295600015204,0.595,122.48300791731272,0.69,145.9475057856621
500,Appliances Energy Prediction,3,jgp_sir,random_row,True,35,ok,114.94796420215233,48.056575775146484,29.341234900028212,0.625,105.06998617957784,0.705,125.19861062030503
500,Appliances Energy Prediction,4,jgp_pca,random_row,True,35,ok,106.40151072783566,44.215415954589844,28.70258769998327,0.62,91.91237423658139,0.68,109.52034897545411
500,Appliances Energy Prediction,4,jgp_sir,random_row,True,35,ok,102.97738672315623,40.7923469543457,29.09105789999012,0.625,69.39919713355066,0.665,82.69424385794763
