dataset,seed,method,top_abs_error_frac,n_points,sse_share,rmse_all,rmse_top,mean_y_top
Wine Quality,0,xgboost,0.05,10,0.30947961522309236,0.7282766272830983,1.8118715019121592,5.5
Wine Quality,0,xgboost,0.1,20,0.46680978004765394,0.7282766272830983,1.5734985441681686,5.85
Wine Quality,0,xgboost,0.2,40,0.6646547861916442,0.7282766272830983,1.3276372916297496,6.05
Wine Quality,0,lmjgp_supervised_base,0.05,10,0.31240704940052266,0.7537035418450805,1.8839786049874838,6.0
Wine Quality,0,lmjgp_supervised_base,0.1,20,0.47980559302679426,0.7537035418450805,1.6509472957505797,6.25
Wine Quality,0,lmjgp_supervised_base,0.2,40,0.6854630553496811,0.7537035418450805,1.395332097138326,6.05
Wine Quality,0,lmjgp_supervised_localgp_rbf,0.05,10,0.33203803166442636,0.7689322679531468,1.9815133354974335,5.9
Wine Quality,0,lmjgp_supervised_localgp_rbf,0.1,20,0.4964832275498524,0.7689322679531468,1.7133274661009366,5.95
Wine Quality,0,lmjgp_supervised_localgp_rbf,0.2,40,0.6759008445429586,0.7689322679531468,1.413561092707765,6.0
Wine Quality,0,lmjgp_supervised_localgp_matern32,0.05,10,0.3324829113084456,0.7579156223606066,1.9544318037189379,6.3
Wine Quality,0,lmjgp_supervised_localgp_matern32,0.1,20,0.49875817536706474,0.7579156223606066,1.692644961064653,5.85
Wine Quality,0,lmjgp_supervised_localgp_matern32,0.2,40,0.6804289120183851,0.7579156223606066,1.3979680328310105,6.05
Wine Quality,0,lmjgp_supervised_localgp_matern52,0.05,10,0.3324706764888683,0.7615543584262514,1.9637788544910573,6.3
Wine Quality,0,lmjgp_supervised_localgp_matern52,0.1,20,0.49867169710345993,0.7615543584262514,1.7006238595743992,5.95
Wine Quality,0,lmjgp_supervised_localgp_matern52,0.2,40,0.6794316523641525,0.7615543584262514,1.4036498958251995,6.05
Wine Quality,0,lmjgp_supervised_hybrid_pls,0.05,10,0.3129253528414584,0.7498959643362663,1.87601535849294,6.2
Wine Quality,0,lmjgp_supervised_hybrid_pls,0.1,20,0.47261759146026844,0.7498959643362663,1.6302565647299496,5.9
Wine Quality,0,lmjgp_supervised_hybrid_pls,0.2,40,0.6634118157138639,0.7498959643362663,1.3657701596289322,6.15
Wine Quality,0,lmjgp_supervised_residual_ridge,0.05,10,0.3115666025225193,0.7519272606189141,1.8770086640503285,5.8
Wine Quality,0,lmjgp_supervised_residual_ridge,0.1,20,0.476828581849956,0.7519272606189141,1.6419388168035691,6.0
Wine Quality,0,lmjgp_supervised_residual_ridge,0.2,40,0.6780739051734053,0.7519272606189141,1.384520364519584,6.05
Wine Quality,0,lmjgp_supervised_hybrid_residual_ridge,0.05,10,0.3187312952935405,0.7604076426911067,1.919878852532287,6.6
Wine Quality,0,lmjgp_supervised_hybrid_residual_ridge,0.1,20,0.4872823720859069,0.7604076426911067,1.6785598216267403,6.05
Wine Quality,0,lmjgp_supervised_hybrid_residual_ridge,0.2,40,0.6655745004412964,0.7604076426911067,1.3871703991533655,6.075
Parkinsons Telemonitoring,0,xgboost,0.05,10,0.20993845341742903,5.558470022396831,11.389804307722112,25.83358
