dataset,seed,method,group,n,y_min,y_max,rmse,mean_crps,coverage_90,mean_width_90,mean_sigma
Wine Quality,0,xgboost,y<=q50,159,4.0,6.0,0.6151180598289097,0.34834393858909607,0.7547169811320755,1.2802802495201246,0.38917756222873207
Wine Quality,0,xgboost,q50<y<=q90,37,7.0,7.0,0.9441898453083055,0.6809070706367493,0.35135135135135137,1.3983615461178205,0.4250717277225167
Wine Quality,0,xgboost,y>q90,4,8.0,9.0,1.7979994316659726,1.4930566549301147,0.0,1.3793476886677176,0.4192919254536234
Wine Quality,0,lmjgp_supervised_base,y<=q50,159,4.0,6.0,0.599144396946145,0.33821746706962585,0.8742138364779874,1.9379548161619586,0.5890964352109898
Wine Quality,0,lmjgp_supervised_base,q50<y<=q90,37,7.0,7.0,1.0144076647052154,0.6563307046890259,0.7027027027027027,2.283879106297656,0.6942499529671025
Wine Quality,0,lmjgp_supervised_base,y>q90,4,8.0,9.0,2.1484349411707058,1.7095954418182373,0.0,2.2531774622449543,0.6849173158407211
Wine Quality,0,lmjgp_supervised_localgp_rbf,y<=q50,159,4.0,6.0,0.635107183509617,0.36207669973373413,0.9685534591194969,2.8534653399333374,0.8673918740179554
Wine Quality,0,lmjgp_supervised_localgp_rbf,q50<y<=q90,37,7.0,7.0,0.9753362869536709,0.5843673944473267,0.918918918918919,2.9559797274080863,0.8985540351352176
Wine Quality,0,lmjgp_supervised_localgp_rbf,y>q90,4,8.0,9.0,2.174830674971006,1.6380517482757568,0.0,2.8855132826380916,0.8771337568759918
Wine Quality,0,lmjgp_supervised_localgp_matern32,y<=q50,159,4.0,6.0,0.6203931035514343,0.3570125997066498,0.9685534591194969,2.9441984933668746,0.8949727942733645
Wine Quality,0,lmjgp_supervised_localgp_matern32,q50<y<=q90,37,7.0,7.0,0.9750142556165091,0.5825571417808533,0.918918918918919,3.009246549537532,0.9147459993491301
Wine Quality,0,lmjgp_supervised_localgp_matern32,y>q90,4,8.0,9.0,2.1515073615298212,1.6076457500457764,0.0,2.935484198370608,0.892323836684227
Wine Quality,0,lmjgp_supervised_localgp_matern52,y<=q50,159,4.0,6.0,0.6253596618057449,0.358489066362381,0.9685534591194969,2.915871712749183,0.8863620643720687
Wine Quality,0,lmjgp_supervised_localgp_matern52,q50<y<=q90,37,7.0,7.0,0.9753152810027166,0.5832159519195557,0.918918918918919,2.9899858392144743,0.9088911591349421
Wine Quality,0,lmjgp_supervised_localgp_matern52,y>q90,4,8.0,9.0,2.157327838657484,1.6176817417144775,0.0,2.912849835204121,0.8854434788227081
Wine Quality,0,lmjgp_supervised_hybrid_pls,y<=q50,159,4.0,6.0,0.5957832842256524,0.33587589859962463,0.8805031446540881,1.998813988631711,0.607596310054731
Wine Quality,0,lmjgp_supervised_hybrid_pls,q50<y<=q90,37,7.0,7.0,1.0113722793285018,0.6630062460899353,0.7297297297297297,2.2332564953721388,0.6788617718864132
Wine Quality,0,lmjgp_supervised_hybrid_pls,y>q90,4,8.0,9.0,2.132145625403608,1.6478817462921143,0.0,2.3455155833972228,0.7129861116409302
Wine Quality,0,lmjgp_supervised_residual_ridge,y<=q50,159,4.0,6.0,0.6355145357446883,0.3556302487850189,0.8050314465408805,1.7850720288580832,0.5426233676994372
Wine Quality,0,lmjgp_supervised_residual_ridge,q50<y<=q90,37,7.0,7.0,0.963277006858897,0.6260488629341125,0.6216216216216216,2.0300683660132663,0.6170969661828634
Wine Quality,0,lmjgp_supervised_residual_ridge,y>q90,4,8.0,9.0,1.9058992531596106,1.4521151781082153,0.0,2.112569141132484,0.6421754211187363
Wine Quality,0,lmjgp_supervised_hybrid_residual_ridge,y<=q50,159,4.0,6.0,0.6221365343769943,0.35606807470321655,0.8364779874213837,1.753792775648034,0.5331151498563634
Wine Quality,0,lmjgp_supervised_hybrid_residual_ridge,q50<y<=q90,37,7.0,7.0,0.9942975603443595,0.6415965557098389,0.7567567567567568,2.0823563661842313,0.6329913896483343
