dataset,seed,method,top_abs_error_frac,n_points,sse_share,rmse_all,rmse_top,mean_y_top
Wine Quality,0,xgboost,0.05,1,0.25272753681504834,0.6999787601576167,1.5737152099609375,5.0
Wine Quality,0,xgboost,0.1,2,0.47586484558700026,0.6999787601576167,1.5269565296375174,6.0
Wine Quality,0,xgboost,0.2,4,0.6213366126636984,0.6999787601576167,1.2337675319060486,6.25
Wine Quality,0,lmjgp_supervised_base,0.05,1,0.22870846327852445,0.7577439232241931,1.620610237121582,7.0
Wine Quality,0,lmjgp_supervised_base,0.1,2,0.36796615090841656,0.7577439232241931,1.4535380237213447,6.0
Wine Quality,0,lmjgp_supervised_base,0.2,4,0.5815360643888735,0.7577439232241931,1.2920990014841687,6.0
Wine Quality,0,lmjgp_supervised_localgp_rbf,0.05,1,0.27825393432163836,0.8237075118596769,1.9431605339050293,7.0
Wine Quality,0,lmjgp_supervised_localgp_rbf,0.1,2,0.5031431432007901,0.8237075118596769,1.8476461689254975,6.0
Wine Quality,0,lmjgp_supervised_localgp_rbf,0.2,4,0.7125258797689307,0.8237075118596769,1.5547420696841374,6.0
Wine Quality,0,lmjgp_supervised_localgp_matern32,0.05,1,0.25131735284797635,0.7524350720049091,1.6869230270385742,7.0
Wine Quality,0,lmjgp_supervised_localgp_matern32,0.1,2,0.49833394653865887,0.7524350720049091,1.679690502444746,6.0
Wine Quality,0,lmjgp_supervised_localgp_matern32,0.2,4,0.7049513413978662,0.7524350720049091,1.4126468428326542,6.0
Wine Quality,0,lmjgp_supervised_localgp_matern52,0.05,1,0.2642768275673881,0.7786976575028355,1.7902488708496094,7.0
Wine Quality,0,lmjgp_supervised_localgp_matern52,0.1,2,0.5002382512828949,0.7786976575028355,1.7416356948012106,6.0
Wine Quality,0,lmjgp_supervised_localgp_matern52,0.2,4,0.699031175340183,0.7786976575028355,1.4558014339373548,6.0
Wine Quality,0,lmjgp_supervised_hybrid_pls,0.05,1,0.26574787011476303,0.705688315738136,1.6269073486328125,7.0
Wine Quality,0,lmjgp_supervised_hybrid_pls,0.1,2,0.5077290718519591,0.705688315738136,1.5901164936654346,6.0
Wine Quality,0,lmjgp_supervised_hybrid_pls,0.2,4,0.6502121472348049,0.705688315738136,1.2724052966806367,6.25
Wine Quality,0,lmjgp_supervised_residual_ridge,0.05,1,0.3883820153151117,0.63475817972897,1.769101942561397,5.0
Wine Quality,0,lmjgp_supervised_residual_ridge,0.1,2,0.5174770078882827,0.63475817972897,1.443955586227631,6.0
Wine Quality,0,lmjgp_supervised_residual_ridge,0.2,4,0.6919368625630143,0.63475817972897,1.1806646008343138,6.25
Wine Quality,0,lmjgp_supervised_hybrid_residual_ridge,0.05,1,0.31083673113586885,0.6296788093972544,1.5700021336300463,5.0
Wine Quality,0,lmjgp_supervised_hybrid_residual_ridge,0.1,2,0.5087885423924733,0.6296788093972544,1.4203250267445577,6.0
Wine Quality,0,lmjgp_supervised_hybrid_residual_ridge,0.2,4,0.7063337762343267,0.6296788093972544,1.1833386989009673,6.25
