dataset,method,n_seeds,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,wall_sec_mean,wall_sec_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std
Appliances Energy Prediction,dkl_svgp,5,119.60496193309189,8.100169382411137,57.588583374023436,6.543640320620506,1.5916053000022656,0.08021460361231468,0.479,0.024576411454889015,46.17636878043355,5.110853033171173,0.5290000000000001,0.021540659228538032,55.02253712035595,6.089957009644797
Appliances Energy Prediction,lmjgp_supervised,5,106.93829574060601,9.649661960957989,44.978877258300784,4.875791861221975,220.37647207999834,7.812770333933474,0.8320000000000001,0.027676705006196078,162.80112574499606,18.865649426360832,0.861,0.02059126028197402,193.9895063454073,22.479807816794185
Appliances Energy Prediction,lmjgp_transductive,5,108.71040073210204,8.032953914455902,45.033512878417966,3.8921445155289502,221.7356426399987,10.030440172525255,0.825,0.037815340802378056,158.7732876477248,16.164897056993972,0.866,0.03200000000000003,189.1900412277474,19.261662877702623
Appliances Energy Prediction,xgb_bootstrap,5,104.00228214489482,5.66726828815242,44.99367828369141,3.000130388210174,12.254772939998656,0.3419467101995728,0.881,0.028879058156387326,169.69674213378778,23.80239124361972,0.8990000000000002,0.02477902338672772,202.20614006392523,28.362298516427558
Parkinsons Telemonitoring,dkl_svgp,5,7.814344191376061,1.167081484180144,4.92281584739685,0.989843773719943,1.697295920000761,0.051596355437277724,0.6569999999999999,0.14545102268461368,15.392666034566233,0.8567319774958895,0.696,0.13958509949131387,18.341492859591003,1.0208591164478473
Parkinsons Telemonitoring,lmjgp_supervised,5,9.502152662377583,0.5584142399810993,5.996229267120361,0.5127339509048368,221.53868793999717,5.107801870012244,0.652,0.08358229477586747,20.773729962861747,1.3803893849377098,0.7420000000000001,0.05626721958654078,24.753426009845704,1.644835403459964
Parkinsons Telemonitoring,lmjgp_transductive,5,9.516683065641878,0.7858377411216486,5.992315292358398,0.6553922999715364,224.10174823999404,3.119634111963905,0.673,0.07075309180523492,20.6865606190056,1.560177121359766,0.739,0.07172168430816442,24.64955733015615,1.8590657048529786
Parkinsons Telemonitoring,xgb_bootstrap,5,9.478727974752417,0.8697714567379201,6.740556716918945,0.7476096661285384,12.084381200000644,0.039258381597195406,0.32,0.0719027120489902,9.932396003057727,0.36307427659083763,0.375,0.07071067811865475,11.835179816129052,0.43262968459379614
Wine Quality,dkl_svgp,5,0.9656176361335799,0.02093398795623469,0.6744560122489929,0.01455429340439534,1.818612800000119,0.17328354965067305,0.229,0.020591260281974007,0.4813250738573906,0.02750692920968306,0.27,0.017606816861659005,0.5735342003440161,0.03277652776690638
Wine Quality,lmjgp_supervised,5,0.7753453442551888,0.026912437699973858,0.43662930727005006,0.01306964019805518,103.13826767999853,1.9736073656969488,0.853,0.035860842154082216,2.189921201485087,0.08574319263043356,0.9019999999999999,0.026381811916545827,2.6094520591758923,0.1021693156895643
Wine Quality,lmjgp_transductive,5,0.7808621738994213,0.017272635111538807,4310911073596211.0,8621822147192422.0,110.19392039999948,8.617246146015187,0.85,0.02073644135332774,6.06843841731021e+16,1.213687683462042e+17,0.8950000000000001,0.010954451150103333,7.230990372299043e+16,1.4461980744598083e+17
Wine Quality,xgb_bootstrap,5,0.7508252189635722,0.03732503993637171,0.44050047397613523,0.021657667238790413,11.914881880005122,0.7322191228418743,0.6799999999999999,0.017606816861658974,1.3749097354701034,0.056380241607212514,0.748,0.022271057451320107,1.6383059983941046,0.06718120152405718
