dataset,seed,method,split_type,n,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,0,xgb_bootstrap,random_row,25,0.7282766272830983,0.43276238441467285,13.361257000011392,0.665,1.3041066381736501,0.73,1.553938904312834
Wine Quality,0,dkl_svgp,random_row,25,0.9803046310127319,0.6898746490478516,2.107780399994226,0.235,0.43803907127621117,0.27,0.5219557469766744
Wine Quality,0,lmjgp_transductive,random_row,25,0.760052795053438,2.1554555367981056e+16,126.88543840000057,0.84,3.0342192086551046e+17,0.9,3.615495186149521e+17
Wine Quality,0,lmjgp_supervised,random_row,25,0.7694325660807317,0.4410130977630615,102.24733230000129,0.81,2.0651828385801125,0.875,2.460817132165788
Wine Quality,1,xgb_bootstrap,random_row,25,0.780591335480852,0.46189361810684204,11.74148409999907,0.665,1.3828766574242997,0.73,1.6477991714290852
Wine Quality,1,dkl_svgp,random_row,25,0.9339653130409705,0.6516581177711487,1.6529660999949556,0.225,0.47937032539473123,0.27,0.5712049738871013
Wine Quality,1,lmjgp_transductive,random_row,25,0.7843902566338121,0.4371730387210846,105.53990639999392,0.86,2.246999586956486,0.9,2.6774651504240023
Wine Quality,1,lmjgp_supervised,random_row,25,0.7702360074312307,0.4302544891834259,100.53836469999806,0.865,2.201384837465104,0.915,2.6231118239625943
Wine Quality,2,xgb_bootstrap,random_row,25,0.731475084100274,0.4287947118282318,11.496360400007688,0.69,1.316301889855737,0.75,1.5684704429784306
Wine Quality,2,dkl_svgp,random_row,25,0.9546405643213283,0.6678749918937683,1.7404668000090169,0.265,0.48146027512393685,0.3,0.5736953025896828
Wine Quality,2,lmjgp_transductive,random_row,25,0.7711432907420593,0.4316059947013855,103.21230260000448,0.84,2.1588059862176303,0.885,2.572375993381239
Wine Quality,2,lmjgp_supervised,random_row,25,0.8000284136073328,0.4493524432182312,102.06977259999258,0.845,2.1760981371803654,0.875,2.592980862134823
Wine Quality,3,xgb_bootstrap,random_row,25,0.7062787562214861,0.4104672372341156,11.583697699999902,0.71,1.43364389464245,0.79,1.7082920656974891
Wine Quality,3,dkl_svgp,random_row,25,0.9643786928556893,0.6724666357040405,1.9223037000047043,0.215,0.5249537013027432,0.265,0.6255209164181326
Wine Quality,3,lmjgp_transductive,random_row,25,0.7772263294677152,0.4400597810745239,105.48720970000431,0.885,2.3408912585834845,0.91,2.789343977708011
Wine Quality,3,lmjgp_supervised,random_row,25,0.7307143016282956,0.4143110513687134,104.9780899000034,0.915,2.333471346801724,0.945,2.780502607495837
Wine Quality,4,xgb_bootstrap,random_row,25,0.8075042917321505,0.46858441829681396,11.391610200007563,0.67,1.43761959725438,0.74,1.713029407552683
Wine Quality,4,dkl_svgp,random_row,25,0.99479897943718,0.6904056668281555,1.6695469999976922,0.205,0.4828019961893304,0.245,0.5752940618484893
Wine Quality,4,lmjgp_transductive,random_row,25,0.8114981976000818,0.4519880414009094,109.84474489999411,0.825,2.245243989349929,0.88,2.675373226848667
Wine Quality,4,lmjgp_supervised,random_row,25,0.8063154325283529,0.44821545481681824,105.85777889999736,0.83,2.173468847398129,0.9,2.5898478701204186
Parkinsons Telemonitoring,0,xgb_bootstrap,subject_grouped,25,7.828203536336295,5.262631416320801,12.133400099992286,0.43,10.526721548463398,0.495,12.543362383258842
Parkinsons Telemonitoring,0,dkl_svgp,subject_grouped,25,6.641559850208215,3.8545408248901367,1.6581146999960765,0.79,16.05200233306896,0.815,19.127140516981864
Parkinsons Telemonitoring,0,lmjgp_transductive,subject_grouped,25,9.07973918613698,5.734254837036133,222.1027899999899,0.68,21.366665548707065,0.735,25.459952338004676
Parkinsons Telemonitoring,0,lmjgp_supervised,subject_grouped,25,9.028495480528298,5.720827579498291,220.8153733999934,0.645,21.524925727940282,0.73,25.64853097284578
Parkinsons Telemonitoring,1,xgb_bootstrap,subject_grouped,25,9.648273403136132,6.952994346618652,12.0379513999942,0.29,9.81743307972994,0.325,11.698193043818186
Parkinsons Telemonitoring,1,dkl_svgp,subject_grouped,25,6.179192909721069,3.6028497219085693,1.70587110001361,0.865,16.6855568510702,0.895,19.88206728808093
Parkinsons Telemonitoring,1,lmjgp_transductive,subject_grouped,25,8.189623008191834,4.864171028137207,226.94885970000178,0.805,23.296064404047005,0.875,27.75897287473639
Parkinsons Telemonitoring,1,lmjgp_supervised,subject_grouped,25,8.782042258700502,5.289559841156006,228.79680189999635,0.795,23.057713958249433,0.845,27.474960801073568
Parkinsons Telemonitoring,2,xgb_bootstrap,subject_grouped,25,10.38745405820105,7.151419639587402,12.129108100009034,0.36,9.425180416285318,0.415,11.230795166831255
Parkinsons Telemonitoring,2,dkl_svgp,subject_grouped,25,8.957652509962463,5.942707061767578,1.7925074999948265,0.48,14.303187687295209,0.525,17.04329933793096
Parkinsons Telemonitoring,2,lmjgp_transductive,subject_grouped,25,9.962438644640688,6.19846248626709,226.04336909999256,0.645,20.20436655311533,0.705,24.074987661938643
Parkinsons Telemonitoring,2,lmjgp_supervised,subject_grouped,25,9.469929856263652,5.831727504730225,217.77625070000067,0.68,20.25458495353246,0.75,24.13482657682204
Parkinsons Telemonitoring,3,xgb_bootstrap,subject_grouped,25,9.623405578109677,7.042953014373779,12.057006600007298,0.215,10.078647423836804,0.305,12.00944913269193
Parkinsons Telemonitoring,3,dkl_svgp,subject_grouped,25,8.831870135797706,5.7467451095581055,1.648409500005073,0.57,15.008865809174447,0.58,17.88416668375345
Parkinsons Telemonitoring,3,lmjgp_transductive,subject_grouped,25,10.360345891120062,6.768926620483398,218.90571689998615,0.6,18.680602969528856,0.665,22.259311363544658
Parkinsons Telemonitoring,3,lmjgp_supervised,subject_grouped,25,10.293554231732918,6.735161781311035,214.7098113999964,0.58,19.120890268769703,0.7,22.783946039374033
Parkinsons Telemonitoring,4,xgb_bootstrap,subject_grouped,25,9.906303297978926,7.292785167694092,12.0644398000004,0.305,9.81399754697318,0.335,11.694099354045049
Parkinsons Telemonitoring,4,dkl_svgp,subject_grouped,25,8.46144555119085,5.467236518859863,1.6815767999942182,0.58,14.913717492222352,0.665,17.770790471207807
