dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,0,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7300251319841823,0.4133322834968567,114.68348209999385,0.8,1.866054468927814,0.875,2.2235410448448594
Wine Quality,0,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7436172256038504,0.42213061451911926,124.79207090000273,0.815,1.9268967933158543,0.845,2.2960391459417178
Wine Quality,1,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7847960770461441,0.4382655620574951,132.00821229998837,0.825,2.0593185283196855,0.865,2.4538293754947538
Wine Quality,1,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7732178999833691,0.439487099647522,112.09727609998663,0.83,2.0696583851087316,0.885,2.4661500747835965
Wine Quality,2,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7796202530516328,0.4303884208202362,113.97080949999508,0.835,2.0173555152045024,0.87,2.403827361308864
Wine Quality,2,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7690661668009379,0.4250377416610718,110.30494770000223,0.815,1.9991207097180208,0.885,2.382099250410122
Wine Quality,3,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7518100326017293,0.4212142825126648,111.21089620000566,0.86,2.086973951612398,0.905,2.4867828448751177
Wine Quality,3,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7340411208605516,0.4103390872478485,114.54779620000045,0.83,2.12079214944147,0.915,2.5270797130468328
Wine Quality,4,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.8037019634661752,0.44270896911621094,95.83029499999247,0.795,2.019364362301546,0.86,2.4062210502646098
Wine Quality,4,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.8006300315262218,0.44743457436561584,118.6727891000046,0.8,1.9903814824065347,0.86,2.371685818781578
Parkinsons Telemonitoring,0,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,8.388924238914488,5.152035713195801,98.55134700000053,0.7,21.780752302340087,0.78,25.95336713814104
Parkinsons Telemonitoring,0,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,8.671343495478325,5.334446430206299,108.60495460001403,0.725,21.343577488455818,0.805,25.432441217365195
Parkinsons Telemonitoring,1,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,8.724967679358357,5.256998062133789,95.13473859999795,0.78,22.75414336948636,0.85,27.113234133732362
Parkinsons Telemonitoring,1,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,8.574606374262885,5.117866516113281,96.07627570000477,0.805,23.001802347322574,0.845,27.40833800744703
Parkinsons Telemonitoring,2,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,9.148986254790598,5.5744709968566895,103.25885509999353,0.695,19.782289810901176,0.78,23.572052203186033
Parkinsons Telemonitoring,2,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.601573805539108,5.911138534545898,95.288097200013,0.685,20.104600307048653,0.75,23.95610884745966
Parkinsons Telemonitoring,3,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.471451077665558,6.8320722579956055,92.19082630000776,0.54,18.043241591382465,0.65,21.49984843879859
Parkinsons Telemonitoring,3,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,10.763746200859668,7.025355339050293,97.24788320000516,0.53,17.749697937314338,0.585,21.150069601072992
Parkinsons Telemonitoring,4,lmjgp_transductive_residual_ridge,subject_grouped,25,raw,200,0,10.025720033908108,6.4392547607421875,93.38129030002165,0.59,19.408703490113883,0.7,23.1268966453526
Parkinsons Telemonitoring,4,lmjgp_supervised_residual_ridge,subject_grouped,25,raw,200,0,9.942525616394649,6.375692844390869,94.13046729998314,0.58,19.232876936595538,0.685,22.91738638451531
Appliances Energy Prediction,0,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,104.34318436705841,44.072425842285156,85.6613081000105,0.81,129.39147262453773,0.85,154.17944921987655
Appliances Energy Prediction,0,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,103.7479222184739,44.30788040161133,85.57977720000781,0.81,142.74350469981655,0.85,170.0893767411916
Appliances Energy Prediction,1,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,109.95804354377061,53.97880935668945,87.21404059999622,0.77,172.79788934314868,0.81,205.9013848817692
Appliances Energy Prediction,1,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,106.6016973112177,51.285362243652344,84.10933269999805,0.785,181.5643875236548,0.825,216.34731175501474
Appliances Energy Prediction,2,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,99.47528204136569,49.739253997802734,86.67883910000091,0.765,161.24340946553454,0.825,192.13337291453493
Appliances Energy Prediction,2,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,104.46076491449715,52.00814437866211,84.78751330001978,0.745,174.50696971202768,0.785,207.93787974964116
Appliances Energy Prediction,3,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,112.96135106975134,52.92525863647461,85.28938340002787,0.75,174.57539636927322,0.82,208.019415140746
Appliances Energy Prediction,3,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,108.029972130042,50.41667938232422,88.6946917999885,0.75,157.5713886362688,0.825,187.75789022238772
Appliances Energy Prediction,4,lmjgp_transductive_residual_ridge,random_row,35,raw,200,0,92.72436065920188,41.2068977355957,89.77266590000363,0.82,152.8313193526657,0.86,182.10974930099448
Appliances Energy Prediction,4,lmjgp_supervised_residual_ridge,random_row,35,raw,200,0,92.06461024958521,40.306114196777344,86.89098070000182,0.825,157.36295476912528,0.855,187.50952595090124
