dataset,method,n_seeds,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,wall_sec_mean,wall_sec_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std
Wine Quality,xgb_bootstrap,5,0.7508252189635722,0.03732503993637171,0.44050047397613523,0.021657667238790413,11.914881880005122,0.7322191228418743,0.6799999999999999,0.017606816861658974,1.3749097354701034,0.056380241607212514,0.748,0.022271057451320107,1.6383059983941046,0.06718120152405718
Wine Quality,dkl_svgp,5,0.9656176361335801,0.02093398795623469,0.6744560122489929,0.01455429340439534,1.818612800000119,0.17328354965067305,0.229,0.020591260281974007,0.4813250738573906,0.02750692920968306,0.27,0.017606816861659005,0.5735342003440161,0.03277652776690638
Wine Quality,lmjgp_transductive,5,0.7792984831133729,0.01931847062071846,0.4360604524612427,0.010637918156160494,94.08908611999941,23.960204868547418,0.857,0.02204540768504862,2.2144756414283164,0.0883750767441604,0.897,0.012489995996796807,2.6387104789894997,0.10530539904060897
Wine Quality,lmjgp_transductive_residual_ridge,5,0.7699906916299727,0.025985226802210996,0.42918190360069275,0.01078557814361683,113.54073901999509,11.503272461899014,0.8230000000000001,0.023790754506740612,2.0098133652731893,0.07644506929911586,0.875,0.01581138830084191,2.394840335357641,0.09108991837749467
Wine Quality,lmjgp_supervised,5,0.7753453442551888,0.026912437699973858,0.43662930727005006,0.01306964019805518,103.13826767999853,1.9736073656969488,0.853,0.035860842154082216,2.1899212014850873,0.08574319263043356,0.9019999999999999,0.026381811916545827,2.6094520591758923,0.1021693156895643
Wine Quality,lmjgp_supervised_residual_ridge,5,0.7641144889549862,0.023517318420868755,0.42888582348823545,0.013121472649455427,116.08297599999932,5.18041808384376,0.818,0.011224972160321799,2.021369903998122,0.06722653919071352,0.8779999999999999,0.02400000000000002,2.4086108005927693,0.0801053622402086
Parkinsons Telemonitoring,xgb_bootstrap,5,9.478727974752417,0.8697714567379201,6.740556716918945,0.7476096661285384,12.084381200000644,0.039258381597195406,0.31999999999999995,0.0719027120489902,9.932396003057729,0.36307427659083763,0.375,0.07071067811865475,11.835179816129052,0.4326296845937961
Parkinsons Telemonitoring,dkl_svgp,5,7.814344191376061,1.167081484180144,4.92281584739685,0.989843773719943,1.697295920000761,0.051596355437277724,0.657,0.14545102268461368,15.392666034566233,0.8567319774958895,0.696,0.1395850994913139,18.341492859591003,1.0208591164478473
Parkinsons Telemonitoring,lmjgp_transductive,5,9.516683065641876,0.7858377411216486,5.992315292358398,0.6553922999715364,224.10174823999404,3.119634111963905,0.673,0.07075309180523494,20.686560619005604,1.5601771213597662,0.739,0.07172168430816443,24.64955733015615,1.8590657048529786
Parkinsons Telemonitoring,lmjgp_transductive_residual_ridge,5,9.35200985692742,0.7834498621294864,5.850966358184815,0.667293653391299,96.50341146000429,4.001233695914357,0.6609999999999999,0.08546344247688599,20.353826112844793,1.6944823770141308,0.752,0.06968500556073738,24.253079711842126,2.019100287689914
Parkinsons Telemonitoring,lmjgp_supervised,5,9.502152662377581,0.5584142399810993,5.996229267120361,0.5127339509048368,221.53868793999717,5.107801870012245,0.652,0.08358229477586747,20.773729962861747,1.3803893849377098,0.742,0.05626721958654078,24.753426009845704,1.6448354034599637
Parkinsons Telemonitoring,lmjgp_supervised_residual_ridge,5,9.510759098506927,0.8180032754655644,5.952899932861328,0.6943232677542955,98.26953560000402,5.266799974297766,0.665,0.09904544411531509,20.286511003347385,1.7926992729763684,0.734,0.09189124006128115,24.172868811572037,2.1361329376504368
Appliances Energy Prediction,xgb_bootstrap,5,104.00228214489482,5.66726828815242,44.99367828369141,3.000130388210174,12.254772939998656,0.3419467101995728,0.881,0.028879058156387326,169.6967421337878,23.80239124361972,0.899,0.02477902338672772,202.20614006392523,28.362298516427558
Appliances Energy Prediction,dkl_svgp,5,119.60496193309191,8.100169382411137,57.588583374023436,6.543640320620506,1.5916053000022656,0.08021460361231467,0.479,0.024576411454889018,46.17636878043355,5.110853033171173,0.529,0.021540659228538032,55.02253712035595,6.089957009644797
Appliances Energy Prediction,lmjgp_transductive,5,108.71040073210204,8.032953914455902,45.033512878417966,3.8921445155289502,221.7356426399987,10.030440172525255,0.825,0.037815340802378056,158.7732876477248,16.164897056993972,0.866,0.03200000000000003,189.1900412277474,19.261662877702623
Appliances Energy Prediction,lmjgp_transductive_residual_ridge,5,103.8924443362296,7.259161734243015,48.38452911376953,4.977190017891626,86.92324742000783,1.5827497754034483,0.783,0.027129319932501065,158.16789743103197,16.427191782296056,0.833,0.0188679622641132,188.46867429158425,19.574206320172777
Appliances Energy Prediction,lmjgp_supervised,5,106.93829574060601,9.649661960957989,44.978877258300784,4.875791861221975,220.37647207999834,7.812770333933474,0.8320000000000001,0.027676705006196078,162.80112574499609,18.865649426360832,0.861,0.02059126028197402,193.9895063454073,22.479807816794185
Appliances Energy Prediction,lmjgp_supervised_residual_ridge,5,102.98099336476318,5.666515819505077,47.66483612060547,4.581814431439818,86.01245914000319,1.6294642305010432,0.783,0.031717503054307414,162.74984106817863,13.77175109233256,0.828,0.024819347291981694,193.92839688382728,16.410053577258704
