dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,0,xgb_bootstrap,random_row,25,raw,200,0,0.6811267691514252,0.39961060881614685,3.4866973999887705,0.68,1.331184181645471,0.785,1.586203787415501
Wine Quality,0,dkl_svgp,random_row,25,raw,200,0,0.7274083207145451,0.5132404565811157,1.3602234999998473,0.28,0.5030156203108553,0.32,0.5993800805835703
Wine Quality,0,lmjgp_transductive,random_row,25,raw,200,0,0.7238073111636486,0.4148201048374176,44.70059469999978,0.855,2.1485174690445272,0.9,2.5601164690179816
Wine Quality,0,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7141387963750551,0.40850868821144104,44.743917999992846,0.825,1.9463336048215745,0.885,2.3191995353534556
Wine Quality,0,lmjgp_supervised,random_row,25,raw,200,0,0.7163735393914962,0.4044482409954071,45.81997969999793,0.86,2.0973389201114996,0.905,2.49913346661207
Wine Quality,0,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.6919521505729963,0.39331093430519104,43.144846500013955,0.815,1.9379754820371045,0.88,2.309240217778015
Wine Quality,1,xgb_bootstrap,random_row,25,raw,200,0,0.7168783728068776,0.42589980363845825,8.462530999997398,0.63,1.3068504956043097,0.725,1.5572084121004497
Wine Quality,1,dkl_svgp,random_row,25,raw,200,0,0.7774657917039143,0.5156455636024475,1.4920922000019345,0.315,0.5094070135183391,0.355,0.6069958953238269
Wine Quality,1,lmjgp_transductive,random_row,25,raw,200,0,0.7284537973624199,0.4044904410839081,47.77400779997697,0.87,1.9846064805538939,0.905,2.3648044796421157
Wine Quality,1,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.7412886128835758,0.41877123713493347,42.81259990000399,0.8,1.9491499184974685,0.855,2.3225553800824175
Wine Quality,1,lmjgp_supervised,random_row,25,raw,200,0,0.7542899481508679,0.42175596952438354,44.77964679998695,0.825,1.963877779851643,0.87,2.3401047093057
Wine Quality,1,lmjgp_supervised_residual_ridge,random_row,25,raw,200,0,0.7180166934053027,0.40390610694885254,46.43004690000089,0.81,1.8887321316198125,0.87,2.2505631466304403
Wine Quality,2,xgb_bootstrap,random_row,25,raw,200,0,0.6926065276646132,0.39456117153167725,7.796892299986212,0.725,1.2706119638775022,0.755,1.514027538207863
Wine Quality,2,dkl_svgp,random_row,25,raw,200,0,0.7891193780049663,0.5382553935050964,1.5273818999994546,0.245,0.4620927757269125,0.285,0.5506175036495289
Wine Quality,2,lmjgp_transductive,random_row,25,raw,200,0,0.7168445906533749,0.40373367071151733,43.02717970000231,0.845,1.9616419403371723,0.875,2.337440542201849
Wine Quality,2,lmjgp_transductive_residual_ridge,random_row,25,raw,200,0,0.709258322935349,0.397826611995697,47.759799399995245,0.82,1.8687237681662432,0.855,2.2267217110667996
Wine Quality,2,lmjgp_supervised,random_row,25,raw,200,0,0.7256173588844802,0.4047349989414215,55.868290700018406,0.81,1.8878963826494706,0.845,2.2495672903091566
