dataset,method,rank,test_order,test_index,pc1,y_true,mu,sigma,abs_error,covered_90
Appliances Energy Prediction,xgboost,1,186,545,1.9110206614723333,760.0,128.70971532496966,44.9476491214832,631.2902846750303,False
Appliances Energy Prediction,xgboost,2,137,403,0.2187594071077671,690.0,80.46047534936265,28.550825436878267,609.5395246506373,False
Appliances Energy Prediction,xgboost,3,198,581,1.904510769982464,610.0,117.7848239301926,44.74247776311942,492.2151760698074,False
Appliances Energy Prediction,xgboost,4,153,453,-3.456248243096247,510.0,115.20610833283048,45.88113029218368,394.79389166716953,False
Appliances Energy Prediction,xgboost,5,63,189,3.300770909812024,450.0,104.40031880786684,34.1485943040153,345.5996811921332,False
Appliances Energy Prediction,xgboost,6,154,455,-2.8311960209525138,390.0,90.06691027187081,34.22307000537288,299.9330897281292,False
Appliances Energy Prediction,xgboost,7,171,504,5.13549945054671,390.0,106.17702089979493,41.01894750065576,283.8229791002051,False
Appliances Energy Prediction,xgboost,8,111,331,0.4463756912489895,370.0,88.8752670694179,34.2763833551801,281.1247329305821,False
Appliances Energy Prediction,xgboost,9,159,479,1.0927057047389357,370.0,94.4735245601256,40.50122272092262,275.5264754398744,False
Appliances Energy Prediction,xgboost,10,108,318,-2.3672896677813897,310.0,84.01102628299505,38.86913948813987,225.98897371700497,False
Appliances Energy Prediction,lmjgp_n35_s300,1,186,545,1.9110206614723333,760.0,99.50994704245966,92.92413887674677,660.4900529575403,False
Appliances Energy Prediction,lmjgp_n35_s300,2,137,403,0.2187594071077671,690.0,68.6885775094645,30.906021515324102,621.3114224905355,False
Appliances Energy Prediction,lmjgp_n35_s300,3,198,581,1.904510769982464,610.0,158.55593473851752,102.2664963501313,451.4440652614825,False
Appliances Energy Prediction,lmjgp_n35_s300,4,153,453,-3.456248243096247,510.0,90.21783522718542,95.20499200903132,419.78216477281455,False
Appliances Energy Prediction,lmjgp_n35_s300,5,63,189,3.300770909812024,450.0,76.30044618652393,20.50828687499335,373.6995538134761,False
Appliances Energy Prediction,lmjgp_n35_s300,6,154,455,-2.8311960209525138,390.0,73.38556097221428,59.61429053165467,316.6144390277857,False
Appliances Energy Prediction,lmjgp_n35_s300,7,159,479,1.0927057047389357,370.0,67.0465101342386,21.786429881134552,302.9534898657614,False
Appliances Energy Prediction,lmjgp_n35_s300,8,111,331,0.4463756912489895,370.0,71.69269430597997,29.594602783947767,298.30730569402004,False
Appliances Energy Prediction,lmjgp_n35_s300,9,171,504,5.13549945054671,390.0,113.9922961146182,80.20822676298792,276.00770388538183,False
Appliances Energy Prediction,lmjgp_n35_s300,10,108,318,-2.3672896677813897,310.0,77.38574128936209,39.63242882673304,232.6142587106379,False
Parkinsons Telemonitoring,xgboost,1,34,103,-19.664383324784467,6.0,18.36871582667033,4.168903012266893,12.368715826670329,False
Parkinsons Telemonitoring,xgboost,2,72,210,74.71226025347096,37.282,25.446475982666016,3.0903842074484107,11.83552401733398,False
Parkinsons Telemonitoring,xgboost,3,93,265,-82.70169368111979,32.073,20.379259236653645,2.532466364759996,11.693740763346355,False
Parkinsons Telemonitoring,xgboost,4,135,382,39.30765006486072,18.879,30.45453942616781,3.455391820530175,11.575539426167808,False
Parkinsons Telemonitoring,xgboost,5,57,170,-45.13938544974869,36.556,24.989347457885746,3.975334285259605,11.566652542114252,False
Parkinsons Telemonitoring,xgboost,6,128,370,42.30796250202829,6.9988,18.22017068862915,3.86728105585012,11.22137068862915,False
Parkinsons Telemonitoring,xgboost,7,145,416,31.22034792726194,30.207,19.182520993550614,4.128277983468024,11.024479006449386,False
Parkinsons Telemonitoring,xgboost,8,5,20,58.61541370208184,35.509,24.507403055826824,3.3860380259702616,11.001596944173176,False
Parkinsons Telemonitoring,xgboost,9,18,68,60.29856351844941,19.834,30.69956595102946,3.20901348630125,10.86556595102946,False
Parkinsons Telemonitoring,xgboost,10,49,143,32.67033501925846,34.997,24.360573514302573,4.846183536834843,10.636426485697427,False
Parkinsons Telemonitoring,lmjgp_n25_s300,1,72,210,74.71226025347096,37.282,16.48745346069336,2.99663519859314,20.794546539306637,False
Parkinsons Telemonitoring,lmjgp_n25_s300,2,58,176,9.625740378381366,32.243,14.96558952331543,6.797538757324219,17.277410476684572,False
Parkinsons Telemonitoring,lmjgp_n25_s300,3,158,464,37.37568527011933,32.777,15.512533187866213,8.078282356262207,17.26446681213379,False
Parkinsons Telemonitoring,lmjgp_n25_s300,4,162,485,22.317268104004697,5.7377,22.81064224243164,9.197901725769045,17.07294224243164,False
Parkinsons Telemonitoring,lmjgp_n25_s300,5,47,141,29.7777954024148,10.615,27.65155029296875,7.083572864532471,17.036550292968748,False
Parkinsons Telemonitoring,lmjgp_n25_s300,6,93,265,-82.70169368111979,32.073,15.955900192260742,7.541296482086182,16.117099807739258,False
Parkinsons Telemonitoring,lmjgp_n25_s300,7,169,494,-30.66626638146605,10.876,26.845853805541992,1.4352608919143677,15.969853805541993,False
Parkinsons Telemonitoring,lmjgp_n25_s300,8,71,205,17.26776810134436,32.659,16.7450008392334,6.4356536865234375,15.9139991607666,False
Parkinsons Telemonitoring,lmjgp_n25_s300,9,168,492,64.32668982592381,5.1376,21.02402114868164,6.151939868927002,15.886421148681642,False
Parkinsons Telemonitoring,lmjgp_n25_s300,10,34,103,-19.664383324784467,6.0,21.83279037475586,7.764432907104492,15.83279037475586,False
Wine Quality,xgboost,1,33,104,-0.5096618324992139,9.0,6.485601329803467,0.3940545641182196,2.514398670196533,False
Wine Quality,xgboost,2,198,629,-1.5797651020426688,4.0,6.26860253016154,0.4618309129738049,2.26860253016154,False
Wine Quality,xgboost,3,173,547,-0.4837511144111314,4.0,5.9001228014628095,0.458270010843245,1.9001228014628095,False
Wine Quality,xgboost,4,148,446,-0.8018712212521788,8.0,6.238455438613892,0.4057477272020023,1.761544561386108,False
Wine Quality,xgboost,5,156,476,1.217339795179674,4.0,5.743083953857422,0.3471547069508218,1.7430839538574219,False
Wine Quality,xgboost,6,195,616,-3.7915773074284034,4.0,5.680479590098063,0.4729815917011593,1.680479590098063,False
Wine Quality,xgboost,7,120,373,1.5709529790054164,4.0,5.565346876780192,0.3730078409818111,1.5653468767801924,False
Wine Quality,xgboost,8,86,261,0.8629964649082964,4.0,5.499926328659058,0.3992908594302891,1.4999263286590576,False
Wine Quality,xgboost,9,199,635,-0.5485679440101643,7.0,5.567774931589763,0.3655829067831544,1.4322250684102373,False
Wine Quality,xgboost,10,68,208,0.4811299668800654,7.0,5.574234390258789,0.3490013751089543,1.4257656097412106,False
Wine Quality,lmjgp_n25_s300,1,33,104,-0.5096618324992139,9.0,6.060412406921387,0.7503072619438171,2.9395875930786133,False
Wine Quality,lmjgp_n25_s300,2,58,179,-1.480975353823423,8.0,6.142576217651367,0.636620819568634,1.8574237823486328,False
Wine Quality,lmjgp_n25_s300,3,156,476,1.217339795179674,4.0,5.852171897888184,0.3684026598930359,1.8521718978881836,False
Wine Quality,lmjgp_n25_s300,4,195,616,-3.7915773074284034,4.0,5.7871198654174805,0.5773816704750061,1.7871198654174805,False
