dataset,method,sigma_bin,n,sigma_min,sigma_max,mean_sigma,mean_abs_error,rmse,coverage_90,width_90
Appliances Energy Prediction,xgboost,1,40,27.26085262233655,30.00213517065104,29.19656494907514,33.81835351471382,99.16035263978007,0.925,96.04815150202094
Appliances Energy Prediction,xgboost,2,40,30.0060038218407,32.60183169166138,31.116839640007015,31.635495726998577,51.612191317201685,0.925,102.36529308226577
Appliances Energy Prediction,xgboost,3,40,32.7232299581933,36.595408989523634,34.862311099241026,49.810044794337635,90.81003568474766,0.875,114.68679771099433
Appliances Energy Prediction,xgboost,4,40,36.96911960111112,43.32302887223194,39.59709678758006,50.64759668549699,86.04917542097992,0.8,130.2628565355991
Appliances Energy Prediction,xgboost,5,40,43.53999284371714,77.46553699198712,53.04890748091807,96.45027743061821,158.63646917285013,0.8,174.51537575160236
Appliances Energy Prediction,lmjgp_n35_s300,1,40,12.795167766230428,20.875274528910825,17.59238129561431,33.670940895330645,74.29197539295559,0.725,57.87378436160886
Appliances Energy Prediction,lmjgp_n35_s300,2,40,21.01406826421906,25.90831500830287,23.096831531878415,24.572828657597654,52.93933046318998,0.875,75.98181423259466
Appliances Energy Prediction,lmjgp_n35_s300,3,40,25.94142432206746,33.25776593406077,29.60561276390523,52.65034644207181,119.44388513785307,0.8,97.39379906566064
Appliances Energy Prediction,lmjgp_n35_s300,4,40,33.68782572493935,65.43556959602695,47.246654525206544,38.79853635446678,68.90853187988147,0.95,155.42766211421832
Appliances Energy Prediction,lmjgp_n35_s300,5,40,67.99767125127998,131.95248092765434,89.4920899475886,105.65898014386701,166.90295841514748,0.85,294.40277746751696
Parkinsons Telemonitoring,xgboost,1,40,2.2020640467417256,2.717648577368993,2.5487305777031977,2.7517295150661476,3.692969357447489,0.85,8.384577469714452
Parkinsons Telemonitoring,xgboost,2,40,2.735593529711819,3.049436181562879,2.8895107141282375,3.937764004472097,4.436581306406004,0.7,9.505644356497939
Parkinsons Telemonitoring,xgboost,3,40,3.051698833469605,3.243634242665662,3.138909877782581,5.087202036857606,5.764603797882803,0.5,10.32609459428896
Parkinsons Telemonitoring,xgboost,4,40,3.2459730051663023,3.6089381403989367,3.3940797764452926,4.895225662415823,5.76601558170455,0.65,11.165528860897364
Parkinsons Telemonitoring,xgboost,5,40,3.6108468932449154,4.901070864676958,4.019119612949136,6.627980671580633,7.394868217284151,0.45,13.221726945022365
Parkinsons Telemonitoring,lmjgp_n25_s300,1,40,0.3083046376705169,4.648921489715576,3.039617320150137,3.683447902698517,5.857769282246959,0.8,9.999451147186935
Parkinsons Telemonitoring,lmjgp_n25_s300,2,40,4.695765018463135,6.041281223297119,5.453041124343872,5.245587177124023,6.747154668014882,0.775,17.93890894258511
Parkinsons Telemonitoring,lmjgp_n25_s300,3,40,6.070414066314697,6.862721920013428,6.472365379333496,7.761464291877746,8.920214469968347,0.75,21.292187338303684
Parkinsons Telemonitoring,lmjgp_n25_s300,4,40,6.871793746948242,7.702674865722656,7.273520135879517,7.375977503356934,8.682475559163043,0.8,23.927751952411974
Parkinsons Telemonitoring,lmjgp_n25_s300,5,40,7.764432907104492,15.07088851928711,8.974048495292664,6.843462643165589,8.20417426317171,0.925,29.521992431841078
Wine Quality,xgboost,1,40,0.3208934407256783,0.3489034650861782,0.3392773842275331,0.48270833373069755,0.6398040505517871,0.65,1.1161232719785321
Wine Quality,xgboost,2,40,0.3490013751089543,0.366599430989934,0.3581590385528911,0.5290188578764597,0.6395834944381317,0.725,1.1782383871783502
Wine Quality,xgboost,3,40,0.3669623924561418,0.3949812043710393,0.38027897184893344,0.6195404903093975,0.7805820390752188,0.575,1.2510064921981898
Wine Quality,xgboost,4,40,0.3966211435985312,0.4327913962152337,0.4137796909102306,0.5609347991148631,0.704365072665728,0.675,1.3612140507051038
Wine Quality,xgboost,5,40,0.4330789965534136,0.6066914854897314,0.4906062650083121,0.692107657591502,0.8532757376462996,0.7,1.6139509888080745
Wine Quality,lmjgp_n25_s300,1,40,0.2466539740562439,0.4925592839717865,0.4355308532714844,0.512135136127472,0.6532369183076447,0.825,1.432769007305741
Wine Quality,lmjgp_n25_s300,2,40,0.4945201575756073,0.5772614479064941,0.5425292551517487,0.49855360984802244,0.6141257678172829,0.875,1.7847624261272688
Wine Quality,lmjgp_n25_s300,3,40,0.5773816704750061,0.6526659727096558,0.6202726915478707,0.615833854675293,0.7839752195223779,0.825,2.0405155727829336
Wine Quality,lmjgp_n25_s300,4,40,0.65860915184021,0.7584582567214966,0.7018864437937736,0.6831939697265625,0.8894207632910698,0.85,2.3090009255645185
Wine Quality,lmjgp_n25_s300,5,40,0.7592095732688904,1.1636865139007568,0.8516024857759475,0.6770149946212769,0.7826928522072925,0.975,2.8015228748989136
