dataset,method,top_abs_error_frac,n_points,sse_share,rmse_all,rmse_top,mean_y_top,mean_abs_error_top
Appliances Energy Prediction,xgboost,0.05,10,0.7803790149736215,103.25991124490986,407.9430479714177,485.0,383.98348091705736
Appliances Energy Prediction,xgboost,0.1,20,0.8927198214743978,103.25991124490986,308.52427204742617,336.5,266.26929804049126
Appliances Energy Prediction,xgboost,0.2,40,0.9406391370443294,103.25991124490986,223.9382457583131,202.0,168.3630917485228
Appliances Energy Prediction,lmjgp_n35_s300,0.05,10,0.7941339880584781,105.06540373317192,418.7179927859981,485.0,395.3224456479436
Appliances Energy Prediction,lmjgp_n35_s300,0.1,20,0.907912465902959,105.06540373317192,316.57872325678585,340.5,273.7390903239645
Appliances Energy Prediction,lmjgp_n35_s300,0.2,40,0.9510708073625429,105.06540373317192,229.11375418767489,205.5,171.0590202873641
Parkinsons Telemonitoring,xgboost,0.05,10,0.20993845341742903,5.558470022396831,11.389804307722112,25.83358,11.378961165161133
Parkinsons Telemonitoring,xgboost,0.1,20,0.3657852971717692,5.558470022396831,10.63085978896289,25.324939999999998,10.591029523366291
Parkinsons Telemonitoring,xgboost,0.2,40,0.5848626890759543,5.558470022396831,9.505330641250257,21.968865,9.4012133167998
Parkinsons Telemonitoring,lmjgp_n25_s300,0.05,10,0.23848111395210145,7.773051401403909,16.975928338670915,20.54003,16.91660806610107
Parkinsons Telemonitoring,lmjgp_n25_s300,0.1,20,0.3991545543236093,7.773051401403909,15.529664880607719,18.932229999999997,15.417248738403321
Parkinsons Telemonitoring,lmjgp_n25_s300,0.2,40,0.629617659039408,7.773051401403909,13.791610770628935,20.9974475,13.594826408424376
Wine Quality,xgboost,0.05,10,0.30947961522309236,0.7282766272830983,1.8118715019121592,5.5,1.7791495990753177
Wine Quality,xgboost,0.1,20,0.46680978004765394,0.7282766272830983,1.5734985441681686,5.85,1.5340451359748843
Wine Quality,xgboost,0.2,40,0.6646547861916442,0.7282766272830983,1.3276372916297496,6.05,1.2780917604764301
Wine Quality,lmjgp_n25_s300,0.05,10,0.3131979782306003,0.7512873578108514,1.8803147534923976,6.0,1.841944408416748
Wine Quality,lmjgp_n25_s300,0.1,20,0.47957717735213967,0.7512873578108514,1.6452630130069121,6.1,1.6049968719482421
Wine Quality,lmjgp_n25_s300,0.2,40,0.6728697984850319,0.7512873578108514,1.3780234270041585,6.325,1.3228935599327087
