dataset,method,group,n,y_min,y_max,rmse,crps,coverage_90,width_90,mean_abs_error,mean_sigma
Appliances Energy Prediction,xgboost,y<=q50,114,20.0,60.0,42.164599895341595,22.84795379638672,0.9210526315789473,122.3991881656901,34.33311566891261,37.20671133289273
Appliances Energy Prediction,xgboost,q50<y<=q90,66,70.0,130.0,28.113683352268524,15.79966926574707,1.0,124.77386642153273,21.789351483752654,37.92856226750865
Appliances Energy Prediction,xgboost,y>q90,20,140.0,760.0,306.405085646399,236.630859375,0.1,126.32781742947336,257.1199170951448,38.400929833375486
Appliances Energy Prediction,lmjgp_n35_s300,y<=q50,114,20.0,60.0,35.29208730817268,17.206388473510742,0.9824561403508771,126.35261466933046,26.814692432035212,38.40846765906734
Appliances Energy Prediction,lmjgp_n35_s300,q50<y<=q90,66,70.0,130.0,36.76275577094462,21.737689971923828,0.803030303030303,137.6233321493886,28.441293179588907,41.8345225053417
Appliances Energy Prediction,lmjgp_n35_s300,y>q90,20,140.0,760.0,314.36906779376966,236.4094696044922,0.15,187.7927747750329,264.0032506314237,57.0849502040747
Parkinsons Telemonitoring,xgboost,y<=q50,100,5.1376,21.699,5.560196040358324,3.424912214279175,0.64,10.533588760210115,4.741119991551717,3.2019836256593806
Parkinsons Telemonitoring,xgboost,q50<y<=q90,80,21.977,32.646,4.856432425866671,2.861041784286499,0.6625,10.181643881833264,3.919509690300624,3.0949999790265994
Parkinsons Telemonitoring,xgboost,y>q90,20,32.659,37.658,7.74901582362066,5.365904808044434,0.45,11.812625124458535,7.216165061823526,3.590783073613589
Parkinsons Telemonitoring,lmjgp_n25_s300,y<=q50,100,5.1376,21.699,8.14486387431844,4.748308181762695,0.78,20.91003506110233,6.703192324546815,6.356199335455894
Parkinsons Telemonitoring,lmjgp_n25_s300,q50<y<=q90,80,21.977,32.646,5.886627140092569,3.174501657485962,0.9,19.683573850943183,4.440249191951752,5.98338159956038
Parkinsons Telemonitoring,lmjgp_n25_s300,y>q90,20,32.659,37.658,11.571504953414102,7.545536041259766,0.6,22.076112915373162,10.542920645904541,6.710661834478378
Wine Quality,xgboost,y<=q50,159,4.0,6.0,0.6151180598289097,0.34834393858909607,0.7547169811320755,1.2802802495201246,0.4732160129387173,0.38917756222873207
Wine Quality,xgboost,q50<y<=q90,37,7.0,7.0,0.9441898453083054,0.6809070706367493,0.35135135135135137,1.39836154611782,0.8976662416715879,0.42507172772251667
Wine Quality,xgboost,y>q90,4,8.0,9.0,1.7979994316659726,1.4930566549301147,0.0,1.3793476886677176,1.7293521364529925,0.4192919254536234
Wine Quality,lmjgp_n25_s300,y<=q50,159,4.0,6.0,0.5880260287241753,0.32908210158348083,0.9245283018867925,2.006995216976933,0.4652516856883307,0.6100832268876849
Wine Quality,lmjgp_n25_s300,q50<y<=q90,37,7.0,7.0,1.040059981174907,0.6784331202507019,0.7297297297297297,2.342863995276793,1.0079272115552746,0.7121800860843143
Wine Quality,lmjgp_n25_s300,y>q90,4,8.0,9.0,2.114507002486749,1.6680363416671753,0.0,2.2361562356503426,2.0502344369888306,0.679743230342865
