dataset,seed,method,split_type,n,metric_policy,n_eval_used,n_numeric_omitted,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,0,xgb_bootstrap,random_row,25,raw,200,0,0.698256314247014,0.4131523072719574,7.642431600019336,0.61,1.2391746178952223,0.7,1.4765676299915975
Wine Quality,0,dkl_svgp,random_row,25,raw,200,0,0.7804383818384943,0.5593961477279663,1.7853282999712974,0.22,0.5085814553270221,0.27,0.6060121820647194
Wine Quality,1,xgb_bootstrap,random_row,25,raw,200,0,0.713977242994686,0.42117318511009216,8.205209599924274,0.665,1.3058871362819076,0.75,1.5560604986660014
Wine Quality,1,dkl_svgp,random_row,25,raw,200,0,0.8754242176254871,0.5959826111793518,1.6229269999312237,0.24,0.5074666707957338,0.29,0.6046838343649324
Wine Quality,2,xgb_bootstrap,random_row,25,raw,200,0,0.715726138297178,0.4114200472831726,7.312101399991661,0.68,1.2495647671513155,0.765,1.4889482564511574
Wine Quality,2,dkl_svgp,random_row,25,raw,200,0,0.8218927266987923,0.5777208209037781,1.6717833000002429,0.255,0.45081142393178014,0.3,0.5371749438660387
Wine Quality,3,xgb_bootstrap,random_row,25,raw,200,0,0.7193724482136524,0.4206409454345703,8.793195199919865,0.635,1.2700077990213356,0.75,1.5133076313788245
Wine Quality,3,dkl_svgp,random_row,25,raw,200,0,0.9644889244854487,0.6929866075515747,1.494968100101687,0.17,0.4830235890033015,0.215,0.5755581059722334
Wine Quality,4,xgb_bootstrap,random_row,25,raw,200,0,0.753646646186264,0.4333241581916809,8.134189200005494,0.67,1.2581426082732614,0.725,1.4991693845738343
Wine Quality,4,dkl_svgp,random_row,25,raw,200,0,0.8160262428893734,0.5638796091079712,1.8712894999189302,0.235,0.48047275382935817,0.285,0.5725185983896088
Parkinsons Telemonitoring,0,xgb_bootstrap,subject_grouped,25,raw,200,0,8.438477738345732,6.11039924621582,13.301678200019524,0.31,7.720720525595169,0.35,9.19980593830197
Parkinsons Telemonitoring,0,dkl_svgp,subject_grouped,25,raw,200,0,7.105870173514586,4.104738712310791,1.5760532999411225,0.795,16.067398678539888,0.82,19.145486394160297
Parkinsons Telemonitoring,1,xgb_bootstrap,subject_grouped,25,raw,200,0,9.419583320299292,7.103585243225098,10.75784430000931,0.205,7.877893838716654,0.255,9.387089492292052
Parkinsons Telemonitoring,1,dkl_svgp,subject_grouped,25,raw,200,0,6.2052827755822335,3.635415554046631,1.4495689000468701,0.835,16.085965275075186,0.89,19.167609858478603
Parkinsons Telemonitoring,2,xgb_bootstrap,subject_grouped,25,raw,200,0,10.147933652209696,7.150008678436279,11.384845599997789,0.345,8.252251046258632,0.37,9.83316361834978
Parkinsons Telemonitoring,2,dkl_svgp,subject_grouped,25,raw,200,0,8.716499319645248,5.692300796508789,1.5751303000142798,0.48,15.235505034201482,0.525,18.154223977155493
Parkinsons Telemonitoring,3,xgb_bootstrap,subject_grouped,25,raw,200,0,9.165575944961132,6.768148899078369,12.492679899907671,0.215,8.177362502876893,0.275,9.743928414999248
Parkinsons Telemonitoring,3,dkl_svgp,subject_grouped,25,raw,200,0,8.814224645630517,5.746514797210693,1.818572000018321,0.56,14.43218129715418,0.58,17.197004704424852
Parkinsons Telemonitoring,4,xgb_bootstrap,subject_grouped,25,raw,200,0,10.491981949754837,8.053606033325195,10.461480000056326,0.155,7.302927316969027,0.19,8.701974624636499
Parkinsons Telemonitoring,4,dkl_svgp,subject_grouped,25,raw,200,0,8.458894881700832,5.493404388427734,2.043650900013745,0.58,14.51310348501042,0.68,17.29342943860766
Appliances Energy Prediction,0,xgb_bootstrap,random_row,35,raw,200,0,99.97672588146533,43.639198303222656,12.388116499991156,0.875,170.81917448550078,0.91,203.5436007038226
Appliances Energy Prediction,0,dkl_svgp,random_row,35,raw,200,0,103.13649115636369,46.1120719909668,2.315580200054683,0.58,57.49837003977237,0.65,68.51353372796831
Appliances Energy Prediction,1,xgb_bootstrap,random_row,35,raw,200,0,114.961438698899,50.42218780517578,10.596894999966025,0.84,155.07343813666873,0.875,184.78139861598632
Appliances Energy Prediction,1,dkl_svgp,random_row,35,raw,200,0,124.14259869644698,55.804988861083984,1.9037071000784636,0.575,49.10559645393463,0.61,58.51292717604783
Appliances Energy Prediction,2,xgb_bootstrap,random_row,35,raw,200,0,89.02780109709273,42.30488204956055,10.923593600047752,0.905,207.6494866625865,0.94,247.42962449564337
Appliances Energy Prediction,2,dkl_svgp,random_row,35,raw,200,0,115.97782727157683,57.48301696777344,1.9961781000019982,0.565,70.48691955106851,0.625,83.99034506025524
Appliances Energy Prediction,3,xgb_bootstrap,random_row,35,raw,200,0,99.69858725232918,44.67168045043945,11.824475699919276,0.89,195.4813602492561,0.915,232.9304075813339
Appliances Energy Prediction,3,dkl_svgp,random_row,35,raw,200,0,120.08615362772622,55.81779479980469,2.075006500002928,0.625,65.66531142115387,0.66,78.2450446108086
Appliances Energy Prediction,4,xgb_bootstrap,random_row,35,raw,200,0,88.72243511659691,35.790260314941406,11.315738199977204,0.89,151.34264552375924,0.925,180.33588502421284
Appliances Energy Prediction,4,dkl_svgp,random_row,35,raw,200,0,105.87208269184624,46.63178634643555,1.6720638000406325,0.56,51.65005672037751,0.61,61.54483858786392
