dataset,train_size,seed,method,status,rmse,mean_crps,coverage_90,mean_width_90,coverage_95,mean_width_95,wall_sec,variant,init_inlier_rate,final_inlier_rate,label_change_rate,mean_n_inliers,min_n_inliers,median_n_inliers,max_n_inliers,n_total_neighbors,train_sec,pred_sec,gate_norm_mean,mean_lengthscale,mean_signal_var,mean_noise_var,mean_kernel_vector_correction,fallback_count,history_json,qr_history_json,refresh_history_json,init_sec,meanw_cem_failed,meanw_cem_inlier_rate,split_type,K_default,Q,D,n_neighbors,m_inducing,qr_train_anchor_count,qr_train_n_neighbors,qr_train_anchor_strategy
Wine Quality,200,0,self_cem2_nstd0.1_kcov0.1,ok,0.7569845815052757,0.4387197196483612,0.785,1.6895803886931702,0.83,2.013259208335319,132.06086420000065,self_cem2_nstd0.1_kcov0.1,0.785,0.8046000000000001,0.044000000000000004,20.115000000000002,5.0,23.0,24.0,25,113.46747980001965,0.7367423000105191,4.1047775813428435,6.193853987753381,0.2462603082339637,0.29592387275504645,0.10716250485931998,0,"[{""changed_frac"": 0.0328, ""inlier_frac"": 0.7946000000000001, ""mean_lengthscale"": 5.102481689335444, ""mean_noise_var"": 0.32338178656446886, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.2672444524159362, ""outer"": 1.0}, {""changed_frac"": 0.014400000000000001, ""inlier_frac"": 0.8046000000000001, ""mean_lengthscale"": 5.595243266953958, ""mean_noise_var"": 0.30304987958862833, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.24159749208647546, ""outer"": 2.0}]",[],[],16.482021999981953,0,0.785,random_row,3,3,11,25,40,0,25,kmeans_yvar
Parkinsons Telemonitoring,200,0,self_cem2_nstd0.1_kcov0.1,ok,10.003070147610542,6.7068586349487305,0.495,16.806518396219364,0.575,20.0262018591589,147.013827399991,self_cem2_nstd0.1_kcov0.1,0.6632,0.7012,0.0592,17.53,2.0,19.0,24.0,25,117.71321419999003,0.6983842000190634,4.960757947872951,7.536077951929128,0.4142906788905659,0.13722022263795652,0.3749899460057815,0,"[{""changed_frac"": 0.049600000000000005, ""inlier_frac"": 0.6908000000000001, ""mean_lengthscale"": 6.977659640576306, ""mean_noise_var"": 0.1472099256486155, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.40437777210522086, ""outer"": 1.0}, {""changed_frac"": 0.0128, ""inlier_frac"": 0.7012, ""mean_lengthscale"": 7.203308672279358, ""mean_noise_var"": 0.13843658764735114, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.3999265591208239, ""outer"": 2.0}]",[],[],26.482179399987217,0,0.6632,subject_grouped,5,5,18,25,40,0,25,kmeans_yvar
Appliances Energy Prediction,200,0,self_cem2_nstd0.1_kcov0.1,ok,107.96180442086893,43.04176330566406,0.765,87.46631613986048,0.8,104.22254399149566,163.70260940000298,self_cem2_nstd0.1_kcov0.1,0.7627142857142858,0.7991428571428572,0.05985714285714286,27.97,2.0,31.0,34.0,35,123.83019830001285,0.8166720999870449,3.0935360846083633,6.701820288135221,0.2200517785410795,0.03080480282832414,0.08218975129410193,0,"[{""changed_frac"": 0.05171428571428572, ""inlier_frac"": 0.7958571428571429, ""mean_lengthscale"": 6.688675188008918, ""mean_noise_var"": 0.03007737410498924, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.2682873194826823, ""outer"": 1.0}, {""changed_frac"": 0.009000000000000001, ""inlier_frac"": 0.7991428571428572, ""mean_lengthscale"": 6.536755836489085, ""mean_noise_var"": 0.03025582567339641, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.22756984097548866, ""outer"": 2.0}]",[],[],32.72414390000631,0,0.7627142857142858,random_row,5,5,27,35,40,0,35,kmeans_yvar
Wine Quality,200,1,self_cem2_nstd0.1_kcov0.1,ok,0.8406084633340679,0.4913337826728821,0.76,1.8008334282619882,0.79,2.14582538149057,147.6348590000125,self_cem2_nstd0.1_kcov0.1,0.7976000000000001,0.8166,0.0454,20.415,2.0,23.0,24.0,25,127.08875799999805,0.8429168000002392,4.13526588288509,5.43406249237777,0.21976291010085192,0.23953809218075464,0.1530310966836516,0,"[{""changed_frac"": 0.033800000000000004, ""inlier_frac"": 0.8054, ""mean_lengthscale"": 4.1781573063363435, ""mean_noise_var"": 0.2653292179988796, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.20971040696616544, ""outer"": 1.0}, {""changed_frac"": 0.0132, ""inlier_frac"": 0.8166, ""mean_lengthscale"": 4.595797018472016, ""mean_noise_var"": 0.24485812774854804, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.2046902120601188, ""outer"": 2.0}]",[],[],16.80546719999984,0,0.7976000000000001,random_row,3,3,11,25,40,0,25,kmeans_yvar
Parkinsons Telemonitoring,200,1,self_cem2_nstd0.1_kcov0.1,ok,9.226503123256991,5.736875057220459,0.62,17.526166407445807,0.7,20.88371535485143,152.41044609999517,self_cem2_nstd0.1_kcov0.1,0.5930000000000001,0.6602,0.09280000000000001,16.505,2.0,17.0,24.0,25,119.43387919999077,0.8005413000064436,4.552160492384617,7.682207145772343,0.491339750432851,0.04350882744763277,0.2434973111204866,0,"[{""changed_frac"": 0.07400000000000001, ""inlier_frac"": 0.6414000000000001, ""mean_lengthscale"": 7.931717417771857, ""mean_noise_var"": 0.048062226728253526, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.5068349536079145, ""outer"": 1.0}, {""changed_frac"": 0.0228, ""inlier_frac"": 0.6602, ""mean_lengthscale"": 7.637772939908233, ""mean_noise_var"": 0.04470265801450976, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.47322475072983616, ""outer"": 2.0}]",[],[],27.26415029997588,0,0.5930000000000001,subject_grouped,5,5,18,25,40,0,25,kmeans_yvar
Appliances Energy Prediction,200,1,self_cem2_nstd0.1_kcov0.1,ok,130.84533284592678,55.990257263183594,0.72,100.78258711641023,0.745,120.08985953542371,171.9275300000154,self_cem2_nstd0.1_kcov0.1,0.7687142857142858,0.811,0.07600000000000001,28.385,2.0,31.0,34.0,35,122.85747940000147,0.7624705999915022,3.3311129867891087,7.851349426329491,0.2390657038332482,0.017061340888164384,0.10806958876946969,0,"[{""changed_frac"": 0.06714285714285714, ""inlier_frac"": 0.8087142857142858, ""mean_lengthscale"": 7.716633897288925, ""mean_noise_var"": 0.015695510471694145, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.35086988472226166, ""outer"": 1.0}, {""changed_frac"": 0.010571428571428572, ""inlier_frac"": 0.811, ""mean_lengthscale"": 7.770323305992931, ""mean_noise_var"": 0.01608417893709671, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.27150051109611434, ""outer"": 2.0}]",[],[],39.641065199975856,0,0.7687142857142858,random_row,5,5,27,35,40,0,35,kmeans_yvar
Wine Quality,200,2,self_cem2_nstd0.1_kcov0.1,ok,0.7814316692872536,0.4495747685432434,0.8,1.7884269124146974,0.84,2.131042106045337,140.42933990000165,self_cem2_nstd0.1_kcov0.1,0.8124,0.8440000000000001,0.0468,21.1,4.0,22.0,24.0,25,121.06065670002135,0.7664381000213325,4.287014649552133,4.751589873340602,0.28030535749669333,0.1856886118461732,0.23625606894918286,0,"[{""changed_frac"": 0.0364, ""inlier_frac"": 0.8332, ""mean_lengthscale"": 4.248086763981384, ""mean_noise_var"": 0.20179820372146573, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.2579224397178772, ""outer"": 1.0}, {""changed_frac"": 0.0128, ""inlier_frac"": 0.8440000000000001, ""mean_lengthscale"": 4.296689537415473, ""mean_noise_var"": 0.18822478624299585, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.2657126817623174, ""outer"": 2.0}]",[],[],16.917004199989606,0,0.8124,random_row,3,3,11,25,40,0,25,kmeans_yvar
Parkinsons Telemonitoring,200,2,self_cem2_nstd0.1_kcov0.1,ok,9.671482174166592,5.885603427886963,0.61,15.013823493086946,0.675,17.890074128498686,147.17323970000143,self_cem2_nstd0.1_kcov0.1,0.5638000000000001,0.6174000000000001,0.08080000000000001,15.435,2.0,16.0,24.0,25,116.72936259998824,0.7131338999897707,3.4687081732295657,8.58104972392743,0.6275617210430938,0.033574206345549376,0.31702958839086515,0,"[{""changed_frac"": 0.0614, ""inlier_frac"": 0.5996, ""mean_lengthscale"": 8.428233049067826, ""mean_noise_var"": 0.034300284540554275, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.6113907055901343, ""outer"": 1.0}, {""changed_frac"": 0.0222, ""inlier_frac"": 0.6174000000000001, ""mean_lengthscale"": 8.332175359803143, ""mean_noise_var"": 0.032688040015132244, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.6155848894070369, ""outer"": 2.0}]",[],[],26.47103800001787,0,0.5638000000000001,subject_grouped,5,5,18,25,40,0,25,kmeans_yvar
Appliances Energy Prediction,200,2,self_cem2_nstd0.1_kcov0.1,ok,142.72164659532615,57.25324630737305,0.69,114.9773504871061,0.75,137.0039633315137,174.2803472999949,self_cem2_nstd0.1_kcov0.1,0.7430000000000001,0.7684285714285715,0.06171428571428572,26.895,2.0,31.0,34.0,35,128.50550279999152,0.7195386000094004,3.4853086839823444,7.237113869902554,0.32913643760849864,0.023325820482537507,0.06141231214670782,0,"[{""changed_frac"": 0.054571428571428576, ""inlier_frac"": 0.7684285714285715, ""mean_lengthscale"": 7.272389836995151, ""mean_noise_var"": 0.023401559940473764, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.46774597255753086, ""outer"": 1.0}, {""changed_frac"": 0.007714285714285715, ""inlier_frac"": 0.7684285714285715, ""mean_lengthscale"": 7.0971082501134575, ""mean_noise_var"": 0.02278224658182296, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.35040892377657584, ""outer"": 2.0}]",[],[],34.41780709999148,0,0.7430000000000001,random_row,5,5,27,35,40,0,35,kmeans_yvar
Wine Quality,200,3,self_cem2_nstd0.1_kcov0.1,ok,0.7529336920781554,0.4263104200363159,0.82,1.8652603165586685,0.855,2.2225947539310305,134.14691599999787,self_cem2_nstd0.1_kcov0.1,0.7654000000000001,0.7918000000000001,0.049600000000000005,19.795,4.0,22.0,24.0,25,114.36773569998331,0.7248816000064835,4.235966937173312,5.114043725319675,0.32215857337082454,0.19680081053740772,0.26246423333839264,0,"[{""changed_frac"": 0.038200000000000005, ""inlier_frac"": 0.784, ""mean_lengthscale"": 4.142721461695327, ""mean_noise_var"": 0.21414097463403706, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.3323521999066972, ""outer"": 1.0}, {""changed_frac"": 0.0122, ""inlier_frac"": 0.7918000000000001, ""mean_lengthscale"": 4.58334190994732, ""mean_noise_var"": 0.20019074042979768, ""mean_outlier_logp"": null, ""mean_signal_var"": 0.31965430499010394, ""outer"": 2.0}]",[],[],17.598796600010246,0,0.7654000000000001,random_row,3,3,11,25,40,0,25,kmeans_yvar
