dataset,train_size,method,n,n_neighbors,m_inducing,qr_train_anchor_count,qr_train_anchor_strategy,qr_train_n_neighbors,lowrank_rank,lowrank_qr_w_signal_var,split_type,rmse_mean,rmse_std,mean_crps_mean,mean_crps_std,wall_sec_mean,wall_sec_std,coverage_90_mean,coverage_90_std,mean_width_90_mean,mean_width_90_std,coverage_95_mean,coverage_95_std,mean_width_95_mean,mean_width_95_std,train_sec_mean,train_sec_std,pred_sec_mean,pred_sec_std,init_inlier_rate_mean,init_inlier_rate_std,final_inlier_rate_mean,final_inlier_rate_std,label_change_rate_mean,label_change_rate_std,mean_noise_var_mean,mean_noise_var_std
Appliances Energy Prediction,500,original_meanw_jumpgp_cem,5,35,40,0,kmeans_yvar,35,0,0.1,random_row,113.17265350199284,6.377707482435265,48.249020385742185,2.6153253364464395,53.37010494000278,2.7649105881143243,0.631,0.040422765862815506,94.27151074289785,16.065161358075095,0.6849999999999999,0.03701351104664348,112.33143350676502,19.14282046239529,49.92156706000678,2.9356119518798165,0.0,0.0,0.7668571428571429,0.01192527756062551,0.7668571428571429,0.01192527756062551,0.0,0.0,,
Appliances Energy Prediction,500,self_cem2_nstd0.05_kcov0.1,5,35,40,0,kmeans_yvar,35,,,random_row,109.28197887076206,6.690066935124667,43.33516006469726,4.123452393500204,224.3133758000331,27.23684255575589,0.755,0.047749345545253286,100.25641494193133,17.581046640463736,0.8149999999999998,0.03346640106136301,119.46288671866482,20.949109185898674,170.33021529996768,24.55035186262103,1.3498819399857893,0.5255250052486488,0.7668571428571429,0.01192527756062551,0.8121142857142857,0.017280967471027007,0.07508571428571428,0.004103358504982009,0.009289658431541458,0.0018284889187538368
Appliances Energy Prediction,500,self_cem2_nstd0.15_kcov0.1,5,35,40,0,kmeans_yvar,35,,,random_row,109.72679463277068,6.822900428755686,43.1952621459961,4.085031689454034,235.4642865800066,32.432396981810015,0.783,0.03544009029333871,105.08161315745129,17.672337778603378,0.8300000000000001,0.030495901363953793,125.21246501896249,21.05788928640706,179.24799989999738,28.824514531474822,1.036930299992673,0.15041490162966517,0.7668571428571429,0.01192527756062551,0.8173999999999999,0.018323933273515385,0.07922857142857144,0.0049599210000291945,0.027107230054779517,0.0016000173478874797
Appliances Energy Prediction,500,self_cem2_nstd0.1_kcov0.1,5,35,40,0,kmeans_yvar,35,,,random_row,109.42932734070746,6.80947607918016,43.22651596069336,4.127822931253933,244.15969618002418,15.91558066079087,0.7699999999999999,0.03781534080237811,101.26471642927999,17.25060656259459,0.8160000000000001,0.028178005607210725,120.66435204565826,20.555365547522484,183.7417444600258,12.869600549627782,1.0704161400441081,0.21049229404580896,0.7668571428571429,0.01192527756062551,0.8132285714285714,0.017454453849481324,0.07631428571428572,0.0037103275613138116,0.01571863951790707,0.001652456745574588
Parkinsons Telemonitoring,500,original_meanw_jumpgp_cem,5,25,40,0,kmeans_yvar,25,0,0.1,subject_grouped,10.290630470987418,0.944274582982634,7.07634162902832,0.9467613170694734,41.266267920006065,3.637311909897072,0.406,0.10091580649234294,12.539764757492673,1.324682913119809,0.469,0.09227133899537818,14.942051314828266,1.5784570481583797,39.77209959996399,3.447654744215339,0.0,0.0,0.6424000000000001,0.021139157977554352,0.6424000000000001,0.021139157977554352,0.0,0.0,,
Parkinsons Telemonitoring,500,self_cem2_nstd0.05_kcov0.1,5,25,40,0,kmeans_yvar,25,,,subject_grouped,10.281265037222193,0.9349605801234535,6.825406074523926,0.9921360032255677,205.75905116000212,24.854118955351435,0.46799999999999997,0.1331014650557987,14.48825842858651,1.7061209973665226,0.535,0.12676750372236567,17.263824727898548,2.0329685592167266,164.02572010001168,22.90034501544824,0.9678345600143075,0.11220466139881943,0.6424000000000001,0.021139157977554352,0.68384,0.022958536538725642,0.06344000000000001,0.009932894844908006,0.08249326153957205,0.035575860611292684
Parkinsons Telemonitoring,500,self_cem2_nstd0.15_kcov0.1,5,25,40,0,kmeans_yvar,25,,,subject_grouped,10.23507784945545,0.9035763552628483,6.769696044921875,0.9654663070183146,214.90161005998962,25.31748941772412,0.475,0.13224976370489286,14.680419490557137,1.7068336697033557,0.545,0.11974973903938163,17.492798756056562,2.0338177606837022,169.24790378001052,21.35458617678936,1.1419584799790754,0.37438601334337407,0.6424000000000001,0.021139157977554352,0.68484,0.022666415684885005,0.0642,0.0100343410346669,0.09966067018394298,0.03531416264384516
Parkinsons Telemonitoring,500,self_cem2_nstd0.1_kcov0.1,5,25,40,0,kmeans_yvar,25,,,subject_grouped,10.26985018829507,0.9199824635142455,6.812709808349609,0.9826265410336155,200.13016581998673,13.50722731183019,0.466,0.13146862743635834,14.542652497551378,1.711410756157725,0.5349999999999999,0.12911235417263522,17.328639258746083,2.0392716955856907,157.9181156200124,8.913370386271009,1.0917426400119439,0.1787733977045883,0.6424000000000001,0.021139157977554352,0.6842,0.022625295578179744,0.06372,0.009769831114200492,0.08891905931913431,0.03554175756926239
Wine Quality,500,original_meanw_jumpgp_cem,5,25,40,0,kmeans_yvar,25,0,0.1,random_row,0.8078757092117412,0.03481162624408617,0.4713254690170288,0.01827094728593962,26.89183414001018,2.221320481832105,0.714,0.02557342370508884,1.536114992792767,0.08532046854085773,0.763,0.023366642891095867,1.830393910226428,0.10166560886885367,25.744937299983576,2.1454863163668336,0.0,0.0,0.7919200000000001,0.01454955669427768,0.7919200000000001,0.01454955669427768,0.0,0.0,,
Wine Quality,500,self_cem2_nstd0.05_kcov0.1,5,25,40,0,kmeans_yvar,25,,,random_row,0.7855109926566721,0.03991065402413033,0.4503187656402588,0.02106757760207019,202.64026804000605,27.653100063695778,0.757,0.028213471959331795,1.6644468651288054,0.08430523543823036,0.807,0.027856776554368225,1.9833107678275503,0.10045588401281884,175.34684957996942,27.298198559873622,1.0815744200255721,0.4600601259804323,0.7919200000000001,0.01454955669427768,0.81584,0.011600275858788851,0.04792,0.004042969205917848,0.22980204701642712,0.026651351982879753
Wine Quality,500,self_cem2_nstd0.15_kcov0.1,5,25,40,0,kmeans_yvar,25,,,random_row,0.784939877189354,0.03902904641634272,0.4489087760448456,0.021233842398463376,194.76096816004718,31.564598508294925,0.7609999999999999,0.025179356624028364,1.6957970571248275,0.07778580856592003,0.8109999999999999,0.022891046284519174,2.020666825663833,0.09268750775112486,167.4135584200034,29.28792588224892,0.9852247800212354,0.13881395047623005,0.7919200000000001,0.01454955669427768,0.8162400000000002,0.011255149932364298,0.047920000000000004,0.004058768286069064,0.24009838627160535,0.02601068496575634
